"Date","Open","High","Low","Close","Volume","Adjusted"
2020-01-01,3183,3193.75,3142.10009765625,3150.10009765625,320021,2636.314453125
2020-01-02,3154.94995117188,3172.5,3112.05004882812,3121,452413,2611.96020507812
2020-01-03,3125.5,3128.25,3065,3072.05004882812,424311,2570.99438476562
2020-01-06,3070,3071.60009765625,3028.05004882812,3037.64990234375,355754,2542.205078125
2020-01-07,3045.5,3072,3030.10009765625,3037.94995117188,225535,2542.45629882812
2020-01-08,3000,3073.39990234375,3000,3059.25,393614,2560.2822265625
2020-01-09,3076,3110,3066.05004882812,3085.69995117188,333029,2582.41772460938
2020-01-10,3098,3117,3085.75,3101.19995117188,455081,2595.3896484375
2020-01-13,3106,3119.94995117188,3080.19995117188,3094.05004882812,154993,2589.40600585938
2020-01-14,3091.10009765625,3118,3074,3101.60009765625,278534,2595.72485351562
2020-01-15,3101,3138,3092,3123.55004882812,553613,2614.09448242188
2020-01-16,3129.80004882812,3150,3101.5,3112.10009765625,287553,2604.51196289062
2020-01-17,3112,3138,3098,3118.10009765625,272072,2609.53344726562
2020-01-20,3130,3144.64990234375,3083.14990234375,3103.69995117188,365554,2597.48217773438
2020-01-21,3096,3119,3085.5,3097.05004882812,215722,2591.91674804688
2020-01-22,3105,3110,3070.10009765625,3076.39990234375,269339,2574.634765625
2020-01-23,3072,3089.94995117188,3051.10009765625,3065.19995117188,256329,2565.26147460938
2020-01-24,3068,3092.94995117188,3064,3074.14990234375,209961,2572.75170898438
2020-01-27,3069.80004882812,3122.94995117188,3044.05004882812,3082.60009765625,308445,2579.82348632812
2020-01-28,3089.80004882812,3109.60009765625,3048,3060.89990234375,239986,2561.66284179688
2020-01-29,3079,3099,3060,3091.85009765625,243945,2587.56518554688
2020-01-30,3108.5,3185,3041.10009765625,3145.5,2400831,2632.46459960938
2020-01-31,3150,3239.94995117188,3150,3180.05004882812,1141144,2661.37939453125
2020-02-03,3143,3315.14990234375,3115.10009765625,3284.5,921166,2748.79345703125
2020-02-04,3270,3313,3151,3162.80004882812,1546450,2646.94287109375
2020-02-05,3185,3220.89990234375,3150,3161.5,646723,2645.85498046875
2020-02-06,3170,3211,3141.39990234375,3149.80004882812,514236,2636.06323242188
2020-02-07,3164.80004882812,3189,3106.60009765625,3134.85009765625,454698,2623.55151367188
2020-02-10,3138,3150.85009765625,3091.69995117188,3103.30004882812,386072,2597.1474609375
2020-02-11,3125,3150,3100,3145.44995117188,274244,2632.42260742188
2020-02-12,3164.69995117188,3184.64990234375,3136.85009765625,3146.30004882812,345354,2633.13403320312
2020-02-13,3149,3172.19995117188,3120.39990234375,3136.39990234375,268031,2624.84887695312
2020-02-14,3145,3205,3136.80004882812,3146.39990234375,381580,2633.21752929688
2020-02-17,3152.55004882812,3159.44995117188,3070,3075.60009765625,269986,2573.96533203125
2020-02-18,3064.69995117188,3090.55004882812,3033.5,3082.5,337054,2579.73999023438
2020-02-19,3092,3111.94995117188,3072.39990234375,3090.89990234375,220584,2586.76977539062
2020-02-20,3091,3100.05004882812,3057.64990234375,3065.5,256115,2565.5126953125
2020-02-24,3077,3084.64990234375,2970.05004882812,2980.5,499562,2494.37622070312
2020-02-25,2992,3007,2931,2947.39990234375,527499,2466.6748046875
2020-02-26,2937,2974,2920,2946.60009765625,445577,2466.00537109375
2020-02-27,2944.80004882812,2969.94995117188,2913.5,2936.60009765625,416726,2457.63671875
2020-02-28,2890,2915,2850.44995117188,2890,925702,2418.63671875
2020-03-02,2920,2944.5,2772,2792.19995117188,1281846,2336.7880859375
2020-03-03,2700,2730,2653,2692.25,1459848,2354.32153320312
2020-03-04,2720,2764.5,2653.5,2711.5,954038,2371.15551757812
2020-03-05,2719.94995117188,2749,2696.19995117188,2703.64990234375,384427,2364.29077148438
2020-03-06,2640,2758,2620,2735.05004882812,658891,2391.74951171875
2020-03-09,2675,2690,2558.60009765625,2573.35009765625,706890,2250.34594726562
2020-03-11,2580,2630,2562.69995117188,2591.55004882812,641982,2266.26123046875
