"Date","Open","High","Low","Close","Volume","Adjusted"
2020-01-01,942,943.244995117188,935.195007324219,937.844970703125,636680,935.214965820312
2020-01-02,937.849975585938,953.094970703125,937.844970703125,950.559997558594,1578910,947.894348144531
2020-01-03,946.5,950.460021972656,932.400024414062,934.585021972656,1824790,931.964172363281
2020-01-06,933.900024414062,933.900024414062,902.200012207031,904.27001953125,2442890,901.734191894531
2020-01-07,912.5,926.5,906.505004882812,909.565002441406,2426760,907.014282226562
2020-01-08,897.099975585938,916.684997558594,896.159973144531,914.549987792969,2697180,911.9853515625
2020-01-09,949.989990234375,949.989990234375,920.900024414062,939.525024414062,2141970,936.890319824219
2020-01-10,937.515014648438,943.484985351562,933.830017089844,937.224975585938,1393930,934.596618652344
2020-01-13,939.97998046875,946.799987792969,936.5,945.525024414062,1507130,942.873474121094
2020-01-14,944.599975585938,957.97998046875,940.530029296875,955.484985351562,1628990,952.805480957031
2020-01-15,953.984985351562,961.900024414062,950.159973144531,958.914978027344,1372300,956.225830078125
2020-01-16,959,964,956.505004882812,962.215026855469,1357820,959.516662597656
2020-01-17,961.400024414062,974.030029296875,960.099975585938,971.5,2841290,968.775573730469
2020-01-20,972.5,976.434997558594,955,957.275024414062,1841980,954.590515136719
2020-01-21,958.39501953125,962.5,950.820007324219,953.429992675781,1745070,950.75634765625
2020-01-22,959,960,949.5,954.75,1395250,952.072509765625
2020-01-23,954.75,959.599975585938,948.414978027344,953.419982910156,1812800,950.746337890625
2020-01-24,951.919982910156,965,948.010009765625,963.375,1239780,960.67333984375
2020-01-27,959,964.890014648438,953.5,955.760009765625,1131280,953.079772949219
2020-01-28,955.760009765625,971,953,963.130004882812,1904690,960.429016113281
2020-01-29,964.900024414062,992.900024414062,964.900024414062,989.424987792969,5019130,986.650268554688
2020-01-30,992.400024414062,995,960.335021972656,963.965026855469,4128250,961.261779785156
2020-01-31,970.799987792969,970.799987792969,941,944.140014648438,3295410,941.492370605469
2020-02-03,895.5,923.5,888.5,908.614990234375,5025510,906.067016601562
2020-02-04,918,962.489990234375,916.130004882812,953.489990234375,4636970,950.816040039062
2020-02-05,954,968.400024414062,945.77001953125,959.140014648438,3245400,956.450256347656
2020-02-06,960,970.900024414062,956,961.969970703125,2713430,959.272277832031
2020-02-07,961,967.364990234375,956.10498046875,962.330017089844,1426260,959.63134765625
2020-02-10,960.5,965.794982910156,953.099975585938,962.700012207031,1435280,960.000305175781
2020-02-11,964.349975585938,981,964.349975585938,973.159973144531,1955790,970.430969238281
2020-02-12,973.799987792969,984.094970703125,968.525024414062,977.184997558594,1885280,974.444702148438
2020-02-13,975.799987792969,979.5,968.900024414062,971.719970703125,1366300,968.994934082031
2020-02-14,973.5,979.5,965.304992675781,969.049987792969,1392370,966.332458496094
2020-02-17,969.97998046875,978.525024414062,951.455017089844,952.885009765625,1754010,950.212829589844
2020-02-18,952.700012207031,956.494995117188,941.599975585938,952.950012207031,2663840,950.277648925781
2020-02-19,958,978,958,975.864990234375,2211320,973.128356933594
2020-02-20,975.799987792969,982.755004882812,969.375,970.969970703125,1670200,968.2470703125
2020-02-24,968,968,944.830017089844,946.690002441406,1993290,944.035217285156
2020-02-25,950,955,935.109985351562,952.5,2220180,949.828918457031
2020-02-26,945.5,949.489990234375,936,938.700012207031,1755170,936.067565917969
2020-02-27,938.5,949.469970703125,926.679992675781,940.799987792969,2075830,938.161682128906
2020-02-28,927.049987792969,928.655029296875,882.505004882812,905.075012207031,5378520,902.536926269531
2020-03-02,930,930,880.799987792969,891.450012207031,3090310,888.950073242188
2020-03-03,900,911.664978027344,868,896.364990234375,5507290,894.352905273438
2020-03-04,900,906.659973144531,859.325012207031,879.969970703125,4402510,877.994689941406
2020-03-05,887,897,876.10498046875,887.989990234375,3198530,885.996704101562
2020-03-06,857,862.5,840,860.320007324219,4086990,858.388793945312
2020-03-09,843.900024414062,845,816,820.710021972656,3705070,818.867797851562
2020-03-11,818,839.710021972656,812.804992675781,825.400024414062,3723450,823.547302246094
2020-03-12,790,798.195007324219,740,743.804992675781,6191940,742.135314941406
2020-03-13,680,788.390014648438,652.424987792969,774.200012207031,5956730,772.462158203125
2020-03-16,745,756.650024414062,720,749.559997558594,5622460,747.87744140625
2020-03-17,750.099975585938,752.195007324219,695.679992675781,701.75,4476050,700.1748046875
2020-03-18,715,720,625.739990234375,631.02001953125,6444600,629.603637695312
2020-03-19,586.5,620.585021972656,544.265014648438,578.549987792969,8166380,577.251403808594
2020-03-20,572.52001953125,639.195007324219,570,623.304992675781,6574680,621.905822753906
2020-03-23,564,589.039978027344,444.899993896484,462.105010986328,6879880,461.067749023438
2020-03-24,490,508,416.024993896484,449.774993896484,15587800,448.765380859375
2020-03-25,445,492,440.005004882812,483.029998779297,7972700,481.945739746094
2020-03-26,497.5,555.47998046875,482.519989013672,514.724975585938,10191230,513.569641113281
2020-03-27,547.700012207031,566,467.5,489.059997558594,12917940,487.962188720703
2020-03-30,470,477.959991455078,455.5,466.114990234375,7509110,465.068725585938
2020-03-31,481,487.954986572266,443,459.119995117188,11561100,458.089385986328
2020-04-01,456,466.769989013672,446,450.190002441406,7577660,449.179443359375
2020-04-03,456,464.600006103516,443,451.075012207031,7223110,450.0625
2020-04-07,462,481.880004882812,432.904998779297,472.489990234375,11307140,471.429351806641
2020-04-08,457.5,495,453.779998779297,460.850006103516,11130550,459.815582275391
2020-04-09,470.5,484.799987792969,466.200012207031,482.024993896484,8642210,480.942993164062
2020-04-13,484.399993896484,484.399993896484,446.934997558594,449.140014648438,8916950,448.131866455078
2020-04-15,455.100006103516,466.424987792969,448,459.910003662109,9830710,458.877655029297
2020-04-16,457,476,450.880004882812,469.959991455078,7473540,468.905090332031
2020-04-17,487.600006103516,513.599975585938,485.505004882812,499.970001220703,13522230,498.847717285156
2020-04-20,508.579986572266,509,472.045013427734,488.225006103516,9031520,487.129089355469
2020-04-21,474.899993896484,474.899993896484,457.5,459.505004882812,6709420,458.473541259766
2020-04-22,458.5,481.565002441406,448.5,477.575012207031,7921490,476.502960205078
2020-04-23,480,485.799987792969,470.505004882812,472.959991455078,6918170,471.898376464844
2020-04-24,467.5,467.5,436.5,438.980010986328,10218670,437.99462890625
2020-04-27,443.019989013672,467,428.799987792969,461.75,11338730,460.713500976562
2020-04-28,469.100006103516,491,458.114990234375,486.179992675781,15204120,485.088653564453
2020-04-29,486.510009765625,507,482.239990234375,499.864990234375,15234930,498.742950439453
2020-04-30,510.799987792969,517.5,505.084991455078,510.434997558594,10643520,509.289184570312
2020-05-04,492.200012207031,493.989990234375,472,476.234985351562,8107070,475.165954589844
2020-05-05,489,492,461,462.920013427734,8158860,461.880889892578
2020-05-06,464.700012207031,478.980010986328,454.200012207031,469.290008544922,12628290,468.236572265625
2020-05-07,467.799987792969,479.600006103516,464,467.339996337891,6454310,466.290954589844
2020-05-08,476.799987792969,477.839996337891,457.734985351562,460.100006103516,4885760,459.067199707031
2020-05-11,468.730010986328,471.769989013672,454.010009765625,455.799987792969,5852300,454.77685546875
2020-05-12,452.799987792969,471.579986572266,445.549987792969,466.820007324219,10188930,465.772125244141
2020-05-13,494.799987792969,505,477.809997558594,481.640014648438,6987500,480.558868408203
2020-05-14,477,493.785003662109,472,479.024993896484,7928120,477.94970703125
2020-05-15,479.200012207031,483.364990234375,470.100006103516,472.325012207031,3951110,471.264801025391
2020-05-18,472.459991455078,473.904998779297,445.100006103516,446.545013427734,6469410,445.542633056641
2020-05-19,452,459.5,443.325012207031,453.545013427734,5741510,452.526947021484
2020-05-20,454.799987792969,473.984985351562,452.144989013672,470.204986572266,5828770,469.149505615234
2020-05-21,472.5,474.269989013672,451.5,453.920013427734,10925960,452.901092529297
2020-05-22,450.910003662109,457.845001220703,408.700012207031,431.554992675781,27250160,430.586273193359
2020-05-26,436,440,405.179992675781,409.725006103516,15756010,408.805267333984
2020-05-27,410,427.695007324219,398.529998779297,425.804992675781,24986770,424.849212646484
2020-05-28,425,432.5,421.184997558594,428.595001220703,12472560,427.632934570312
2020-05-29,424,442.894989013672,420.149993896484,440.489990234375,13944250,439.501220703125
2020-06-01,450,484.535003662109,447.674987792969,476.320007324219,21106170,475.250793457031
2020-06-02,479.394989013672,523.799987792969,474.265014648438,518.469970703125,26933530,517.30615234375
2020-06-03,534.400024414062,552.97998046875,521.710021972656,528.60498046875,24123590,527.418395996094
2020-06-04,528.900024414062,533.594970703125,506.799987792969,513.679992675781,19944190,512.526977539062
2020-06-05,516.200012207031,528.5,509.625,523.640014648438,15138920,522.464599609375
2020-06-08,536,549.5,536,544.094970703125,13966100,542.873657226562
2020-06-09,550,552.39501953125,525.005004882812,531.080017089844,11634230,529.887878417969
2020-06-10,531.080017089844,534.400024414062,516,522.299987792969,11622530,521.127563476562
2020-06-11,520,528.5,513,515.799987792969,10573320,514.64208984375
2020-06-12,490,533.900024414062,490,528.594970703125,16552510,527.408447265625
2020-06-15,528.099975585938,528.099975585938,507.660003662109,510.359985351562,10234910,509.21435546875
2020-06-16,525,527,498.070007324219,512.830017089844,11691030,511.678833007812
2020-06-17,503.600006103516,513,500.790008544922,503.695007324219,10498590,502.564392089844
2020-06-18,503.695007324219,549.900024414062,502.154998779297,542.755004882812,18061720,541.536682128906
