"Date","Open","High","Low","Close","Volume","Adjusted"
2020-01-01,2251.52490234375,2259.47509765625,2200.10009765625,2207.580078125,1086480,2088.21923828125
2020-01-02,2209,2234.18505859375,2147.11010742188,2160.0849609375,2285820,2043.29174804688
2020-01-03,2165,2166.59497070312,2111,2118.92504882812,1572970,2004.35778808594
2020-01-06,2110,2110,2073.94995117188,2086.044921875,1258710,1973.25524902344
2020-01-07,2095,2134.97998046875,2071.3798828125,2080.3798828125,1371520,1967.89660644531
2020-01-08,2070,2070,1980.01000976562,1989.21997070312,2892860,1881.66577148438
2020-01-09,2023.80004882812,2050,1986,2032.89001464844,2592870,1922.97448730469
2020-01-10,2033,2074,2025.02001953125,2043.27502441406,2169260,1932.7978515625
2020-01-13,2060,2060.01000976562,2006.31994628906,2028,1320920,1918.34875488281
2020-01-14,2027,2057.92993164062,2025.5,2048.96997070312,1162260,1938.18493652344
2020-01-15,2044,2065,2030,2062.47998046875,1079560,1950.96459960938
2020-01-16,2069.89990234375,2160,2065,2153.625,2921950,2037.18127441406
2020-01-17,2150.90502929688,2177,2110.35498046875,2129.21997070312,1834850,2014.09606933594
2020-01-20,2138,2154.98999023438,2100.5,2136.51000976562,1005930,2020.99194335938
2020-01-21,2135.80004882812,2147.5,2097.03002929688,2105.65502929688,1032360,1991.80529785156
2020-01-22,2116,2128,2094.39990234375,2110,786810,1995.91516113281
2020-01-23,2107,2119.60009765625,2078.05004882812,2091.57495117188,1059580,1978.48620605469
2020-01-24,2098,2117.5,2080,2093.080078125,770750,1979.91003417969
2020-01-27,2085,2116.080078125,2077.5,2109.52001953125,971080,1995.46105957031
2020-01-28,2122.69995117188,2122.69995117188,2087.5,2108.6650390625,972770,1994.65234375
2020-01-29,2123.60009765625,2123.60009765625,2010,2019.22497558594,2869250,1910.04821777344
2020-01-30,2020,2058,2020,2034.03002929688,1385590,1924.05285644531
2020-01-31,2045,2064.169921875,2021.09997558594,2028.93005371094,1021230,1919.22863769531
2020-02-03,1954.72998046875,2037.56005859375,1951.1650390625,1988.34497070312,1486370,1880.83801269531
2020-02-04,2000,2013.99499511719,1945,1951.26501464844,1500920,1845.76281738281
2020-02-05,1971.19995117188,1980,1935.60998535156,1948.70495605469,1283330,1843.34106445312
2020-02-06,1962.5,2064.15991210938,1926.09997558594,2039.11999511719,3945750,1928.86755371094
2020-02-07,2050,2051.69506835938,1966.67004394531,1973.63000488281,2224150,1866.91845703125
2020-02-10,1985.5,1985.5,1879,1905.72497558594,2437470,1802.68505859375
2020-02-11,1925,1936.89501953125,1894.5,1900.92504882812,1295530,1798.14465332031
2020-02-12,1900,1936,1892.57995605469,1927.78503417969,1528370,1823.55236816406
2020-02-13,1927.09997558594,1949,1917.07995605469,1935.53002929688,919630,1830.87854003906
2020-02-14,1927,1935,1850.5,1870.35498046875,2318720,1769.22729492188
2020-02-17,1890,1894.875,1845.01000976562,1853.58996582031,1292680,1753.36889648438
2020-02-18,1850,1879.19494628906,1833.9599609375,1876.03503417969,1806500,1774.60046386719
2020-02-19,1890.5,1903.89501953125,1871.06005859375,1887.52001953125,1322670,1785.46447753906
2020-02-20,1886.98999023438,1903,1854.44995117188,1884.86499023438,1249820,1782.95288085938
2020-02-24,1870,1870,1780.01000976562,1794.99499511719,1928210,1697.94226074219
2020-02-25,1813.5,1823,1732.09997558594,1753.22998046875,2568310,1658.43530273438
2020-02-26,1743,1760,1703.5400390625,1715.69494628906,2151130,1622.9296875
2020-02-27,1716.78002929688,1724.80004882812,1690.60998535156,1705.33996582031,2554810,1613.13464355469
2020-02-28,1669.69995117188,1684.80004882812,1631.70495605469,1660.23498535156,3264550,1570.46838378906
2020-03-02,1666.59997558594,1778.2900390625,1664.30004882812,1701.33996582031,3483700,1609.35083007812
2020-03-03,1750,1804.09997558594,1740,1788.84497070312,2747400,1692.12475585938
2020-03-04,1795.40002441406,1828,1687,1725.42004394531,4186090,1632.12878417969
2020-03-05,1745,1788.80004882812,1716.18005371094,1777.53503417969,2313750,1681.42626953125
2020-03-06,1735,1787.15002441406,1682.19995117188,1774.35498046875,1707910,1678.41809082031
2020-03-09,1709.90002441406,1799.90002441406,1704.51501464844,1788.57995605469,1932250,1691.87377929688
2020-03-11,1788.57995605469,1826.69494628906,1751.69995117188,1775.35998535156,2219090,1679.36877441406
2020-03-12,1699.97998046875,1728.15002441406,1670,1687.77502441406,3635550,1596.51940917969
2020-03-13,1590,1852.86499023438,1520.19995117188,1767.21496582031,2794020,1671.66418457031
2020-03-16,1687.48999023438,1735.67504882812,1636,1649.36999511719,1924950,1560.19079589844
2020-03-17,1671,1746,1660.00500488281,1706.10998535156,1675350,1613.86291503906
2020-03-18,1711.01000976562,1745,1582.81494140625,1595.4150390625,1589120,1509.15319824219
2020-03-19,1515,1607,1485.30505371094,1504.64501953125,1611810,1434.53051757812
2020-03-20,1539.44995117188,1599.90002441406,1446.56494140625,1567.84497070312,2113350,1494.78540039062
2020-03-23,1435.09997558594,1724,1332.67004394531,1370.58996582031,1443300,1306.72229003906
2020-03-24,1400,1455.5,1388,1420.84997558594,1126980,1354.64013671875
2020-03-25,1370.5,1480,1370.5,1451.66003417969,761180,1384.0146484375
2020-03-26,1463,1516.59997558594,1450,1475.79504394531,2048910,1407.02478027344
2020-03-27,1524.30004882812,1539.59997558594,1400,1431.97998046875,1106270,1365.25134277344
2020-03-30,1409.80004882812,1409.80004882812,1310,1333.31005859375,2263090,1271.17956542969
2020-03-31,1365.90002441406,1367.61499023438,1295,1309.58996582031,1672550,1248.56469726562
2020-04-01,1309.58996582031,1331.90002441406,1272.5,1300.16003417969,1387180,1239.57409667969
2020-04-03,1306,1309.98999023438,1260,1268.00500488281,1806810,1208.91760253906
2020-04-07,1307.07995605469,1321.19995117188,1245.01000976562,1309.60498046875,2405590,1248.57897949219
2020-04-08,1300,1365,1280,1315.84997558594,2799990,1254.53308105469
2020-04-09,1340,1404.61499023438,1316.26000976562,1374.22998046875,3618730,1310.19262695312
2020-04-13,1373,1373,1330.5,1340.05505371094,1266210,1277.61022949219
2020-04-15,1360,1387.19494628906,1312.27001953125,1331.48999023438,2755930,1269.44409179688
2020-04-16,1331.5,1353.38500976562,1304.19995117188,1337.13500976562,2501460,1274.82629394531
2020-04-17,1376,1497.79504394531,1361.90002441406,1477.03503417969,5656840,1408.20703125
2020-04-20,1477.03503417969,1480.03503417969,1406.03002929688,1421.44494628906,2999770,1355.20739746094
2020-04-21,1395.51501464844,1398.5,1345,1349.5,1656250,1286.61499023438
2020-04-22,1349.5,1394.49499511719,1320,1370.32995605469,2765770,1306.47436523438
2020-04-23,1380,1425,1371,1406.8349609375,2072670,1341.27819824219
2020-04-24,1406.80004882812,1409.09997558594,1350.51000976562,1358.92004394531,1799440,1295.59619140625
2020-04-27,1390.19995117188,1420,1381.48999023438,1399.94995117188,1836150,1334.71398925781
2020-04-28,1411,1438.5,1410.05004882812,1432.68505859375,1846940,1365.92370605469
2020-04-29,1440.98999023438,1445,1412.55505371094,1431.57495117188,1477410,1364.86535644531
2020-04-30,1458.02001953125,1490,1440.19995117188,1470.79504394531,3472310,1402.2578125
2020-05-04,1439,1439,1361.43505859375,1374.88000488281,1924440,1310.81225585938
2020-05-05,1400,1416.2900390625,1366.59997558594,1381.09497070312,1524890,1316.73754882812
2020-05-06,1382.5,1417.5400390625,1360,1385.99499511719,1871230,1321.4091796875
2020-05-07,1385.99499511719,1410.5,1371.2900390625,1401.05004882812,1270450,1335.76293945312
2020-05-08,1423.07995605469,1433.07995605469,1357.09997558594,1385.88500976562,1643300,1321.30456542969
2020-05-11,1405.99499511719,1455,1400,1428.89501953125,1958240,1362.31042480469
2020-05-12,1424,1426.94494628906,1378.90002441406,1416.70495605469,1479050,1350.68823242188
2020-05-13,1497,1497,1418.46997070312,1427.1650390625,2529370,1360.66088867188
2020-05-14,1412,1427.01501464844,1398,1403.18505859375,1481780,1337.79846191406
2020-05-15,1408,1419.90002441406,1365,1409.9599609375,2350250,1344.25756835938
2020-05-18,1405.02001953125,1405.02001953125,1285.54504394531,1298.81994628906,2752580,1238.29663085938
2020-05-19,1330,1334.63000488281,1287.50500488281,1296.61999511719,2506930,1236.19909667969
