"Date","Open","High","Low","Close","Volume","Adjusted"
2021-07-23,116,138.899993896484,115,126,694895200,126
2021-07-26,126.349998474121,143.75,125.300003051758,140.649993896484,249723800,140.649993896484
2021-07-27,141.699996948242,147.800003051758,127.75,132.899993896484,240341900,132.899993896484
2021-07-28,131,135,123.550003051758,131.199996948242,159793700,131.199996948242
2021-07-29,134.949996948242,144,132.199996948242,141.550003051758,117973000,141.550003051758
2021-07-30,142.600006103516,142.699996948242,131,133.5,88312520,133.5
2021-08-02,135.75,140.75,135.149993896484,139.699996948242,66909730,139.699996948242
2021-08-03,137,140.800003051758,137,139.399993896484,46610000,139.399993896484
2021-08-04,139.800003051758,141,135.25,138.399993896484,41134410,138.399993896484
2021-08-05,138.75,138.899993896484,132,134.949996948242,38437130,134.949996948242
2021-08-06,135.5,136.199996948242,130.100006103516,131.350006103516,31975350,131.350006103516
2021-08-09,132.399993896484,133.550003051758,127.25,130.600006103516,41358290,130.600006103516
2021-08-10,131,131.449996948242,122.099998474121,125.199996948242,43164000,125.199996948242
2021-08-11,123,138.75,123,135.649993896484,111702700,135.649993896484
2021-08-12,135.649993896484,137.399993896484,132.050003051758,135.449996948242,51256670,135.449996948242
2021-08-13,133.850006103516,139.75,132.100006103516,137.350006103516,33674300,137.350006103516
2021-08-16,136.399993896484,136.899993896484,132.25,134.949996948242,20305360,134.949996948242
2021-08-17,132.800003051758,134.350006103516,130.600006103516,132.5,15815180,132.5
2021-08-18,134.5,136.800003051758,133.300003051758,134.949996948242,22566920,134.949996948242
2021-08-20,134.949996948242,141.449996948242,133,139.300003051758,53789580,139.300003051758
2021-08-23,137.800003051758,137.800003051758,124.75,127.25,68470860,127.25
2021-08-24,127.25,127.949996948242,120.5,125,56713550,125
2021-08-25,126,128.5,123.099998474121,124.25,51078810,124.25
2021-08-26,125.25,127.150001525879,124.349998474121,125.849998474121,20645400,125.849998474121
2021-08-27,126.599998474121,129.5,124.099998474121,124.699996948242,22227590,124.699996948242
2021-08-30,127.849998474121,135.449996948242,127.550003051758,133.550003051758,45239080,133.550003051758
2021-08-31,134,135.199996948242,131.350006103516,134.550003051758,24640920,134.550003051758
2021-09-01,134.550003051758,135.100006103516,130.699996948242,132.600006103516,16162260,132.600006103516
2021-09-02,132,138.5,131.5,137.600006103516,27882460,137.600006103516
2021-09-03,135.949996948242,151.399993896484,135.600006103516,149.75,113381500,149.75
2021-09-06,149.25,149.350006103516,143.25,144.050003051758,34811620,144.050003051758
2021-09-07,144.899993896484,146.850006103516,138.550003051758,140.050003051758,30421930,140.050003051758
2021-09-08,141,143.600006103516,139.050003051758,141.25,28133280,141.25
2021-09-09,141.399993896484,142.899993896484,140,141.600006103516,18970690,141.600006103516
2021-09-13,143.25,144.25,142,143.149993896484,17426790,143.149993896484
2021-09-14,145.149993896484,152.75,136.199996948242,144.100006103516,112358900,144.100006103516
2021-09-15,142.949996948242,145,140.75,142.649993896484,38892540,142.649993896484
2021-09-16,143,144,141.5,142.050003051758,17634200,142.050003051758
2021-09-17,142.550003051758,146.899993896484,137.149993896484,137.899993896484,23264090,137.899993896484
