"Date","Open","High","Low","Close","Volume","Adjusted"
2020-01-01,2454.89990234375,2462.55004882812,2427.35009765625,2432.55004882812,314519,1972.41076660156
2020-01-02,2447.80004882812,2452,2417.05004882812,2429.44995117188,546945,1969.89709472656
2020-01-03,2420,2449,2415,2432.35009765625,544720,1972.24877929688
2020-01-06,2428.94995117188,2428.94995117188,2360.05004882812,2368.14990234375,624665,1920.19250488281
2020-01-07,2378,2399.89990234375,2337,2348.05004882812,620687,1903.89453125
2020-01-08,2322,2345.05004882812,2310.55004882812,2317.55004882812,595883,1879.16430664062
2020-01-09,2341,2365,2326.10009765625,2354.55004882812,732115,1909.16540527344
2020-01-10,2357,2387.69995117188,2351,2363.44995117188,578287,1916.38159179688
2020-01-13,2382.89990234375,2382.89990234375,2352.35009765625,2366.75,434063,1919.05749511719
2020-01-14,2367,2418.80004882812,2361.05004882812,2411.39990234375,787340,1955.26147460938
2020-01-15,2419.94995117188,2480.55004882812,2414,2476.30004882812,1051367,2007.88537597656
2020-01-16,2474.94995117188,2474.94995117188,2427,2434.5,590255,1973.99157714844
2020-01-17,2445,2474.89990234375,2421.60009765625,2454,457663,1989.80346679688
2020-01-20,2454,2459.64990234375,2410.10009765625,2415.60009765625,320280,1958.66711425781
2020-01-21,2410,2412.64990234375,2375,2398.69995117188,568473,1944.96350097656
2020-01-22,2408.69995117188,2410,2379,2399.05004882812,346888,1945.24768066406
2020-01-23,2397,2434.85009765625,2380,2429.75,315469,1970.14013671875
2020-01-24,2440,2474.80004882812,2427.10009765625,2468.64990234375,519690,2001.68200683594
2020-01-27,2456,2498.5,2425.05004882812,2455.75,897656,1991.22192382812
2020-01-28,2456.75,2508.94995117188,2440,2468.85009765625,904634,2001.84423828125
2020-01-29,2484,2510,2470,2486.35009765625,787135,2016.03405761719
2020-01-30,2486.94995117188,2522,2464,2482.30004882812,797868,2012.75012207031
2020-01-31,2508,2521.89990234375,2492.05004882812,2501.85009765625,574957,2028.60217285156
2020-02-03,2391,2469,2358,2376.14990234375,1507692,1926.67907714844
2020-02-04,2412,2484.60009765625,2400.80004882812,2462.05004882812,1187298,1996.33056640625
2020-02-05,2472,2478.89990234375,2345.55004882812,2373.25,2176980,1924.32775878906
2020-02-06,2395,2427,2355,2411.30004882812,1632634,1955.18054199219
2020-02-07,2480,2496,2421.35009765625,2443.44995117188,2709754,1981.24865722656
2020-02-10,2449.5,2457.44995117188,2375.14990234375,2385.69995117188,949025,1934.42248535156
2020-02-11,2415,2443.35009765625,2390,2396.44995117188,680119,1943.13928222656
2020-02-12,2410,2430,2400,2423.05004882812,467714,1964.70788574219
2020-02-13,2419,2441.30004882812,2401,2408.94995117188,514501,1953.27502441406
2020-02-14,2424,2437.80004882812,2351.10009765625,2356.5,798770,1910.74633789062
2020-02-17,2335,2335,2269.55004882812,2283.35009765625,818134,1903.95080566406
2020-02-18,2283.19995117188,2283.19995117188,2225,2252.64990234375,839607,1878.35180664062
2020-02-19,2274,2278,2227.05004882812,2251.60009765625,729471,1877.47607421875
2020-02-20,2267,2276,2235.44995117188,2240.25,886179,1868.01196289062
