"Date","Open","High","Low","Close","Volume","Adjusted"
2020-01-01,1930,1939.90002441406,1918,1936.55004882812,543035,1749.93139648438
2020-01-02,1940,1952.59997558594,1930,1938.05004882812,663275,1751.28686523438
2020-01-03,1937.90002441406,1940,1918.75,1927.44995117188,1598825,1741.70825195312
2020-01-06,1927.34997558594,1929.40002441406,1911.25,1915.44995117188,683129,1730.86462402344
2020-01-07,1919.25,1931,1918,1920.69995117188,808935,1735.60876464844
2020-01-08,1910,1936.05004882812,1906.44995117188,1929.34997558594,1889685,1743.42541503906
2020-01-09,1941.55004882812,1947.30004882812,1931,1935.05004882812,1544334,1748.57592773438
2020-01-10,1940.90002441406,1957.5,1931.65002441406,1954,1003336,1765.69995117188
2020-01-13,1961,1997.84997558594,1957,1994.84997558594,2040089,1802.61291503906
2020-01-14,1995.5,2014.94995117188,1982.40002441406,2008.80004882812,1610737,1815.21899414062
2020-01-15,2011.15002441406,2027,1997.34997558594,2021.65002441406,1559491,1826.83068847656
2020-01-16,2022,2054.69995117188,2016.09997558594,2049.25,2468958,1851.77075195312
2020-01-17,2055,2063.89990234375,2040.05004882812,2060.30004882812,994719,1861.75610351562
2020-01-20,2060.5,2075.89990234375,2050,2062.85009765625,829399,1864.06030273438
2020-01-21,2059.75,2075,2052.14990234375,2055.39990234375,750000,1857.32800292969
2020-01-22,2063,2063.5,2027.19995117188,2051.69995117188,983169,1853.98474121094
2020-01-23,2051.75,2060.85009765625,2035,2056.89990234375,708017,1858.68347167969
2020-01-24,2057,2079,2050.05004882812,2073.69995117188,914993,1873.86499023438
2020-01-27,2066,2068.75,2056.75,2061.35009765625,429312,1862.70495605469
2020-01-28,2062,2065,2042.69995117188,2060.60009765625,777052,1862.02746582031
2020-01-29,2062.05004882812,2085.80004882812,2062.05004882812,2074.19995117188,873433,1874.31652832031
2020-01-30,2074.89990234375,2078,2049.44995117188,2058.10009765625,952768,1859.76806640625
2020-01-31,2064,2068.25,2020.05004882812,2034.25,1930834,1838.21630859375
2020-02-03,2074.89990234375,2195.55004882812,2074.89990234375,2178.94995117188,4012542,1968.97241210938
2020-02-04,2177,2204.19995117188,2140,2155.60009765625,1932121,1947.87243652344
2020-02-05,2167.39990234375,2184,2153.89990234375,2160.30004882812,1514368,1952.11950683594
2020-02-06,2166,2196.25,2134.05004882812,2156.39990234375,1302116,1948.59521484375
2020-02-07,2165,2172,2141.60009765625,2159.94995117188,908152,1951.80310058594
2020-02-10,2160.10009765625,2189.55004882812,2151.69995117188,2159.30004882812,1389847,1951.2158203125
2020-02-11,2169,2179.64990234375,2147.69995117188,2152.64990234375,777506,1945.20642089844
2020-02-12,2157.10009765625,2272,2155,2260.35009765625,4753325,2042.52770996094
2020-02-13,2256,2288.94995117188,2233.05004882812,2283.39990234375,2950407,2063.35668945312
2020-02-14,2273,2297.60009765625,2246.25,2255.05004882812,1728651,2037.73864746094
2020-02-17,2248,2289,2243.19995117188,2252.60009765625,1420851,2035.52465820312
2020-02-18,2252.60009765625,2262.94995117188,2222.10009765625,2234.39990234375,1194605,2019.07836914062
2020-02-19,2250.19995117188,2308.19995117188,2241.25,2292.14990234375,1299800,2071.26342773438
