"Date","Open","High","Low","Close","Volume","Adjusted"
2020-01-01,1512,1523.94995117188,1480.80004882812,1484.30004882812,2135253,1433.39465332031
2020-01-02,1491.75,1534.30004882812,1486.09997558594,1529,2365906,1476.5615234375
2020-01-03,1524,1538,1512.09997558594,1528.84997558594,2622870,1476.41662597656
2020-01-06,1515.05004882812,1517.75,1465.44995117188,1469.40002441406,3151046,1419.00561523438
2020-01-07,1488.44995117188,1508,1442.19995117188,1461.65002441406,3572603,1411.52136230469
2020-01-08,1441,1481.59997558594,1439.05004882812,1458.59997558594,3363919,1408.57592773438
2020-01-09,1490,1515.94995117188,1483.19995117188,1507.65002441406,3496433,1455.94372558594
2020-01-10,1510.84997558594,1521.65002441406,1484.19995117188,1491.25,3189536,1440.10620117188
2020-01-13,1499.80004882812,1547,1487.34997558594,1539.65002441406,3732412,1486.84631347656
2020-01-14,1546,1585,1470.25,1481.65002441406,15123110,1430.83544921875
2020-01-15,1463.40002441406,1463.40002441406,1391.34997558594,1400.5,13995235,1352.46862792969
2020-01-16,1405,1415,1377.09997558594,1386.44995117188,10544088,1338.90051269531
2020-01-17,1350,1377,1317.05004882812,1352.25,10020063,1305.87341308594
2020-01-20,1367.90002441406,1367.90002441406,1323,1331.94995117188,6047237,1286.26953125
2020-01-21,1332,1350,1320,1336.34997558594,4501887,1290.5185546875
2020-01-22,1346.34997558594,1348,1323,1327.40002441406,3038713,1281.87561035156
2020-01-23,1330,1339.80004882812,1320.09997558594,1331.80004882812,4358219,1286.12475585938
2020-01-24,1334,1345,1307.65002441406,1316.09997558594,4563516,1270.96301269531
2020-01-27,1311.5,1312,1265,1271.19995117188,6019701,1227.60302734375
2020-01-28,1281,1284.90002441406,1240.25,1254.75,6103759,1211.71716308594
2020-01-29,1268.90002441406,1276.69995117188,1251,1258.25,3977924,1215.09716796875
2020-01-30,1252,1254,1221.55004882812,1231.5,5301706,1189.26452636719
2020-01-31,1245,1271.59997558594,1242.09997558594,1258.84997558594,8391172,1215.67663574219
2020-02-03,1222,1268.44995117188,1216.05004882812,1263.09997558594,7697534,1219.78076171875
