"Date","Open","High","Low","Close","Volume","Adjusted"
2020-01-01,1308.40002441406,1318.90002441406,1303,1309.94995117188,3123998,1192.20666503906
2020-01-02,1312,1348,1311,1345.30004882812,4335359,1224.37939453125
2020-01-03,1344.94995117188,1344.94995117188,1330.15002441406,1335.05004882812,2059871,1215.05065917969
2020-01-06,1331,1332,1314.09997558594,1316.75,2646905,1198.3955078125
2020-01-07,1328,1339.5,1313.75,1320.5,2077893,1201.80834960938
2020-01-08,1302,1308.69995117188,1283.34997558594,1291.55004882812,4147568,1175.46069335938
2020-01-09,1311,1319.90002441406,1305.09997558594,1316.15002441406,2067779,1197.84936523438
2020-01-10,1319,1335.94995117188,1319,1324.59997558594,2360798,1205.53979492188
2020-01-13,1329,1339.40002441406,1328.69995117188,1334.69995117188,1825244,1214.73205566406
2020-01-14,1329.80004882812,1331,1315.09997558594,1326.09997558594,2046500,1206.90502929688
2020-01-15,1325.59997558594,1336.15002441406,1320,1323.59997558594,2127677,1204.6298828125
2020-01-16,1327.69995117188,1332.90002441406,1317.40002441406,1319.30004882812,1773135,1200.71630859375
2020-01-17,1320.59997558594,1325.94995117188,1302,1304.19995117188,2941837,1186.9736328125
2020-01-20,1313.94995117188,1319.90002441406,1306.5,1309.59997558594,2542477,1191.88806152344
2020-01-21,1304.75,1313.90002441406,1300.44995117188,1302.34997558594,1361576,1185.28967285156
2020-01-22,1311,1312,1292,1294.19995117188,2449753,1177.87243652344
2020-01-23,1307,1339.84997558594,1306,1332.30004882812,10056067,1212.54772949219
2020-01-24,1332,1367.84997558594,1332,1359.19995117188,5837319,1237.02978515625
2020-01-27,1340,1364.90002441406,1340,1348.59997558594,2510013,1227.38269042969
2020-01-28,1350.90002441406,1355,1338,1346.65002441406,2352852,1225.60803222656
2020-01-29,1353.09997558594,1374.94995117188,1352.09997558594,1365.69995117188,3678474,1242.94567871094
2020-01-30,1365.94995117188,1376.80004882812,1353,1370.19995117188,2743506,1247.04125976562
2020-01-31,1375.94995117188,1377,1360.44995117188,1369.30004882812,3939306,1246.22216796875
2020-02-03,1290,1303.90002441406,1272,1286.65002441406,5767353,1171.00109863281
2020-02-04,1296,1307.30004882812,1287.55004882812,1291.75,3604309,1175.642578125
2020-02-05,1297.90002441406,1325,1295,1310.05004882812,4220104,1192.29772949219
2020-02-06,1322.90002441406,1325,1309.05004882812,1317.59997558594,2354458,1199.16918945312
2020-02-07,1313.05004882812,1314.40002441406,1296,1299,3053804,1182.24096679688
2020-02-10,1300,1302.44995117188,1273.09997558594,1285.30004882812,3039992,1169.7724609375
2020-02-11,1292,1298.94995117188,1284,1286.90002441406,2200796,1171.22863769531
