"Date","Open","High","Low","Close","Volume","Adjusted"
2020-01-01,7377,7409.9501953125,7282.0498046875,7311.7001953125,634725,6945.3359375
2020-01-02,7327.60009765625,7368,7312,7329.85009765625,616838,6962.57568359375
2020-01-03,7328.9501953125,7332,7226,7254.25,571967,6890.763671875
2020-01-06,7200,7210,7026.5,7042.39990234375,748516,6689.5283203125
2020-01-07,7100,7165.60009765625,7026.39990234375,7073.60009765625,590500,6719.16552734375
2020-01-08,7060,7116.64990234375,6980.4501953125,7035.2001953125,793313,6682.689453125
2020-01-09,7140,7240,7102,7227.89990234375,798184,6865.7333984375
2020-01-10,7261.39990234375,7349.89990234375,7234.39990234375,7330.5,747847,6963.193359375
2020-01-13,7332,7370,7279.7998046875,7352.7001953125,537399,6984.28076171875
2020-01-14,7355,7412.39990234375,7325.60009765625,7386.7998046875,548522,7016.67138671875
2020-01-15,7388.9501953125,7505,7353,7482.9501953125,692726,7108.00439453125
2020-01-16,7456.5,7521,7421.2001953125,7462.64990234375,640207,7088.72119140625
2020-01-17,7469,7569.89990234375,7432.5498046875,7520.14990234375,750738,7143.34033203125
2020-01-20,7521.25,7529.5,7421.0498046875,7449.60009765625,407828,7076.3251953125
2020-01-21,7411.5,7434.64990234375,7287.7998046875,7302.64990234375,442561,6936.73828125
2020-01-22,7340,7374.9501953125,7107.9501953125,7135.60009765625,1048435,6778.05908203125
2020-01-23,7145.39990234375,7220,7123.14990234375,7147.10009765625,589326,6788.98291015625
2020-01-24,7148.7998046875,7210,7111.25,7128.4501953125,645723,6771.26708984375
2020-01-27,7101.5,7225,7061,7148.7998046875,573149,6790.59716796875
2020-01-28,7179.9501953125,7219.9501953125,6963,6997.0498046875,1614448,6646.451171875
2020-01-29,7010,7116.25,6975,7010.2998046875,1001252,6659.03759765625
2020-01-30,7020,7049,6981,7020.4501953125,579174,6668.6787109375
2020-01-31,7035,7064,6895.5498046875,6913.5,868935,6567.087890625
2020-02-03,6780,7044.85009765625,6780,7011.2998046875,1010531,6659.98681640625
2020-02-04,7020,7215,7001,7199.60009765625,973311,6838.85205078125
2020-02-05,7215,7231.60009765625,7025.60009765625,7040.89990234375,718489,6688.10302734375
2020-02-06,7075,7120.35009765625,6976.7998046875,7021.60009765625,875714,6669.77099609375
2020-02-07,7039,7050,6935,6971.75,645814,6622.4189453125
2020-02-10,6975,6989.10009765625,6851.10009765625,6892.89990234375,593773,6547.51953125
2020-02-11,6950,7089,6912.2998046875,7033.75,743160,6681.31201171875
2020-02-12,7056.10009765625,7110,7007.9501953125,7043.2998046875,599364,6690.38330078125
2020-02-13,7050,7056,6925,7005.0498046875,723169,6654.0498046875
2020-02-14,7000.0498046875,7088.9501953125,6901,6913.7998046875,614859,6567.37255859375
2020-02-17,6920,6980,6880,6906.75,463548,6560.67529296875
2020-02-18,6925,6930,6735.7998046875,6781.10009765625,830678,6441.322265625
2020-02-19,6850,6854.9501953125,6624.60009765625,6756.60009765625,1033939,6418.04931640625
2020-02-20,6761,6807.5498046875,6720,6757.60009765625,682513,6418.99853515625
2020-02-24,6710,6710,6439.7998046875,6470.39990234375,1091346,6146.18994140625
2020-02-25,6505.39990234375,6510,6376.5498046875,6414.5498046875,964897,6093.13818359375
2020-02-26,6350,6368.85009765625,6186.0498046875,6234.85009765625,1580738,5922.4423828125
2020-02-27,6230,6338.0498046875,6166.7998046875,6289.7998046875,1492657,5974.638671875
2020-02-28,6163.0498046875,6367.35009765625,6103.2001953125,6283.10009765625,1468843,5968.2744140625
2020-03-02,6400.9501953125,6439.5498046875,6250,6285.14990234375,1219764,5970.22216796875
2020-03-03,6318,6422.14990234375,6280.5,6386.0498046875,849199,6066.06591796875
