"Date","Open","High","Low","Close","Volume","Adjusted"
2020-01-01,965,980,961.599975585938,976.400024414062,349251,965.975158691406
2020-01-02,975.700012207031,975.700012207031,966,969.349975585938,335765,959.000366210938
2020-01-03,970,982.799987792969,969,975.099975585938,451217,964.689025878906
2020-01-06,966.099975585938,1003.09997558594,958,983.099975585938,895840,972.603576660156
2020-01-07,990,1003,980,984.900024414062,570304,974.384399414062
2020-01-08,978,992.299987792969,975.200012207031,987.75,368547,977.203979492188
2020-01-09,996.799987792969,998,979.75,988.5,614382,977.945983886719
2020-01-10,989,997,983.299987792969,989,351231,978.440612792969
2020-01-13,993,997.950012207031,980,989.849975585938,332236,979.281433105469
2020-01-14,993,994,984,987.799987792969,369532,977.25341796875
2020-01-15,988,1002,981,998.150024414062,533340,987.492858886719
2020-01-16,1000,1003,992,999.900024414062,465355,989.224182128906
2020-01-17,999.799987792969,1009.79998779297,985.25,996.349975585938,372188,985.712097167969
2020-01-20,1000,1001,975.5,981.5,341082,971.020629882812
2020-01-21,980,987,970.200012207031,972.75,355550,962.364135742188
2020-01-22,980,992.599975585938,972,981.700012207031,1299987,971.218566894531
2020-01-23,985.400024414062,1004,980.200012207031,985.950012207031,1151390,975.423156738281
2020-01-24,986,1020,977,999.799987792969,1388247,989.125244140625
2020-01-27,999.799987792969,1014.70001220703,987.349975585938,992.150024414062,740311,981.557006835938
2020-01-28,993,1007,975.75,987.849975585938,578382,977.302856445312
2020-01-29,992,1012.15002441406,988,1007.79998779297,538017,997.039916992188
2020-01-30,1014,1017,989.299987792969,998.25,561770,987.591796875
2020-01-31,1005,1006,983.150024414062,994.099975585938,445170,983.486083984375
2020-02-03,895,921.849975585938,856.650024414062,912.650024414062,4046967,902.905822753906
2020-02-04,912,922.900024414062,896,911.599975585938,2004591,901.867004394531
2020-02-05,913.599975585938,915.799987792969,898.5,910.549987792969,1337410,900.828186035156
2020-02-06,916.099975585938,925,912.049987792969,919.5,1185756,909.6826171875
2020-02-07,920,955.450012207031,915.549987792969,947.299987792969,1642253,937.185852050781
2020-02-10,952,956.25,938,952.799987792969,734151,942.627075195312
2020-02-11,960.450012207031,960.450012207031,935.799987792969,939.75,584552,929.716430664062
2020-02-12,944.75,948.799987792969,925,932.849975585938,925589,922.890075683594
2020-02-13,937,937,916,927.549987792969,551572,917.646789550781
2020-02-14,932.400024414062,932.400024414062,907,914.25,402685,904.488708496094
2020-02-17,915.5,919.450012207031,904,914.400024414062,355839,904.637084960938
2020-02-18,915,921.450012207031,907.099975585938,916.049987792969,901858,906.26953125
2020-02-19,918.099975585938,942.450012207031,918.099975585938,938.200012207031,786366,928.183044433594
2020-02-20,939.700012207031,945,921.700012207031,928.75,784552,918.833923339844
2020-02-24,923.599975585938,941.5,910,916.599975585938,493211,906.813537597656
2020-02-25,923.5,934.700012207031,891.75,901.200012207031,760359,891.577941894531
2020-02-26,893.799987792969,914.799987792969,881.5,891.349975585938,807168,881.833190917969
